날짜,노선,역,승차승객,하차승객,총 승객,승차-하차,월,일,요일
2022-02-01,5호선,화곡,8399,8782,17181,-383,2,1,화
2022-02-01,경강선,곤지암,1283,1197,2480,86,2,1,화
2022-02-01,경강선,초월,1134,961,2095,173,2,1,화
2022-02-01,경강선,경기광주,2482,2311,4793,171,2,1,화
2022-02-01,경강선,삼동,562,572,1134,-10,2,1,화
2022-02-01,경강선,이매,420,317,737,103,2,1,화
2022-02-01,경강선,판교,914,965,1879,-51,2,1,화
2022-02-01,9호선2~3단계,중앙보훈병원,1939,1900,3839,39,2,1,화
2022-02-01,9호선2~3단계,둔촌오륜,227,218,445,9,2,1,화
2022-02-01,9호선2~3단계,올림픽공원(한국체대),1536,1692,3228,-156,2,1,화
2022-02-01,9호선2~3단계,한성백제,743,730,1473,13,2,1,화
2022-02-01,9호선2~3단계,송파나루,1501,1650,3151,-149,2,1,화
2022-02-01,9호선2~3단계,석촌,2348,2396,4744,-48,2,1,화
2022-02-01,9호선2~3단계,석촌고분,1626,1943,3569,-317,2,1,화
2022-02-01,9호선2~3단계,삼전,1882,2245,4127,-363,2,1,화
2022-02-01,9호선2~3단계,종합운동장,1025,1071,2096,-46,2,1,화
2022-02-01,9호선2~3단계,봉은사,5174,5635,10809,-461,2,1,화
2022-02-01,9호선2~3단계,삼성중앙,879,960,1839,-81,2,1,화
2022-02-01,9호선2~3단계,선정릉,1137,1538,2675,-401,2,1,화
2022-02-01,9호선2~3단계,언주,1338,1440,2778,-102,2,1,화
2022-02-01,9호선,신논현,6205,6213,12418,-8,2,1,화
2022-02-01,9호선,사평,820,863,1683,-43,2,1,화
2022-02-01,9호선,고속터미널,7335,4824,12159,2511,2,1,화
2022-02-01,9호선,신반포,537,539,1076,-2,2,1,화
2022-02-01,9호선,구반포,230,202,432,28,2,1,화
2022-02-01,9호선,동작(현충원),803,664,1467,139,2,1,화
2022-02-01,9호선,흑석(중앙대입구),2146,2272,4418,-126,2,1,화
2022-02-01,9호선,노들,1243,1188,2431,55,2,1,화
2022-02-01,9호선,노량진,7781,9072,16853,-1291,2,1,화
2022-02-01,9호선,샛강,732,753,1485,-21,2,1,화
2022-02-01,9호선,여의도,2734,2738,5472,-4,2,1,화
2022-02-01,9호선,국회의사당,1118,1172,2290,-54,2,1,화
2022-02-01,9호선,당산,4156,4902,9058,-746,2,1,화
2022-02-01,9호선,선유도,1393,1643,3036,-250,2,1,화
2022-02-01,9호선,신목동,996,905,1901,91,2,1,화
2022-02-01,9호선,염창,4572,5255,9827,-683,2,1,화
2022-02-01,9호선,등촌,2940,3445,6385,-505,2,1,화
2022-02-01,9호선,증미,1612,1868,3480,-256,2,1,화
2022-02-01,9호선,가양,5635,6248,11883,-613,2,1,화
2022-02-01,9호선,양천향교,2297,2680,4977,-383,2,1,화
2022-02-01,9호선,마곡나루(서울식물원),2564,2989,5553,-425,2,1,화
2022-02-01,9호선,신방화,2125,2147,4272,-22,2,1,화
2022-02-01,9호선,공항시장,1045,1216,2261,-171,2,1,화
2022-02-01,9호선,김포공항,6900,8777,15677,-1877,2,1,화
2022-02-01,9호선,개화,493,464,957,29,2,1,화
2022-02-01,8호선,남위례,981,1077,2058,-96,2,1,화
2022-02-01,8호선,모란,1571,1264,2835,307,2,1,화
2022-02-01,8호선,수진,1764,1739,3503,25,2,1,화
2022-02-01,8호선,신흥,1516,1698,3214,-182,2,1,화
2022-02-01,8호선,단대오거리,3254,3349,6603,-95,2,1,화
2022-02-01,8호선,남한산성입구(성남법원.검찰청),3982,3878,7860,104,2,1,화
2022-02-01,8호선,산성,1703,1711,3414,-8,2,1,화
2022-02-01,8호선,복정,2217,1917,4134,300,2,1,화
2022-02-01,8호선,장지,3792,3775,7567,17,2,1,화
2022-02-01,8호선,문정,1997,2380,4377,-383,2,1,화
2022-02-01,8호선,가락시장,1471,1654,3125,-183,2,1,화
2022-02-01,8호선,송파,1795,1978,3773,-183,2,1,화
2022-02-01,8호선,석촌,2042,2615,4657,-573,2,1,화
2022-02-01,8호선,잠실(송파구청),5356,5827,11183,-471,2,1,화
2022-02-01,8호선,몽촌토성(평화의문),1702,1874,3576,-172,2,1,화
2022-02-01,8호선,강동구청,2538,2726,5264,-188,2,1,화
2022-02-01,8호선,천호(풍납토성),4256,5224,9480,-968,2,1,화
2022-02-01,8호선,암사,5024,5046,10070,-22,2,1,화
2022-02-01,7호선,상동,1,0,1,1,2,1,화
2022-02-01,7호선,춘의,1,0,1,1,2,1,화
2022-02-01,7호선,온수(성공회대입구),2528,2627,5155,-99,2,1,화
2022-02-01,7호선,천왕,3028,3074,6102,-46,2,1,화
2022-02-01,7호선,광명사거리,7645,7716,15361,-71,2,1,화
2022-02-01,7호선,철산,6028,6334,12362,-306,2,1,화
2022-02-01,7호선,가산디지털단지,4948,5187,10135,-239,2,1,화
2022-02-01,7호선,남구로,4806,5069,9875,-263,2,1,화
2022-02-01,7호선,대림(구로구청),4338,4420,8758,-82,2,1,화
2022-02-01,7호선,신풍,3607,3758,7365,-151,2,1,화
2022-02-01,7호선,보라매,2263,2547,4810,-284,2,1,화
2022-02-01,7호선,신대방삼거리,4646,5476,10122,-830,2,1,화
2022-02-01,7호선,장승배기,2932,3288,6220,-356,2,1,화
