날짜,노선,역,승차승객,하차승객,총 승객,승차-하차,월,일,요일
2022-03-01,장항선,배방,593,698,1291,-105,3,1,화
2022-03-01,장항선,온양온천,2388,2517,4905,-129,3,1,화
2022-03-01,장항선,신창(순천향대),1065,1164,2229,-99,3,1,화
2022-03-01,안산선,오이도,4789,4668,9457,121,3,1,화
2022-03-01,안산선,수리산,1892,1693,3585,199,3,1,화
2022-03-01,우이신설선,북한산우이,2122,2228,4350,-106,3,1,화
2022-03-01,우이신설선,솔밭공원,1360,1331,2691,29,3,1,화
2022-03-01,우이신설선,4.19민주묘지,1836,1663,3499,173,3,1,화
2022-03-01,우이신설선,가오리,2211,2122,4333,89,3,1,화
2022-03-01,우이신설선,화계,1899,1814,3713,85,3,1,화
2022-03-01,우이신설선,삼양,1205,1229,2434,-24,3,1,화
2022-03-01,우이신설선,삼양사거리,1489,1432,2921,57,3,1,화
2022-03-01,우이신설선,솔샘,2700,2510,5210,190,3,1,화
2022-03-01,우이신설선,북한산보국문,3577,3338,6915,239,3,1,화
2022-03-01,중앙선,오빈,189,176,365,13,3,1,화
2022-03-01,중앙선,아신,336,326,662,10,3,1,화
2022-03-01,중앙선,국수,332,351,683,-19,3,1,화
2022-03-01,중앙선,신원,171,126,297,45,3,1,화
2022-03-01,중앙선,양수,1364,1302,2666,62,3,1,화
2022-03-01,중앙선,운길산,720,705,1425,15,3,1,화
2022-03-01,중앙선,팔당,848,946,1794,-98,3,1,화
2022-03-01,중앙선,도심,1038,909,1947,129,3,1,화
2022-03-01,중앙선,덕소,2970,2954,5924,16,3,1,화
2022-03-01,중앙선,양정,425,361,786,64,3,1,화
2022-03-01,중앙선,도농,4753,4492,9245,261,3,1,화
2022-03-01,중앙선,구리,6742,6990,13732,-248,3,1,화
2022-03-01,중앙선,양원,1166,1164,2330,2,3,1,화
2022-03-01,중앙선,망우,4398,4416,8814,-18,3,1,화
2022-03-01,중앙선,상봉(시외버스터미널),3305,3342,6647,-37,3,1,화
2022-03-01,중앙선,중랑,3171,3075,6246,96,3,1,화
2022-03-01,중앙선,회기,13732,13733,27465,-1,3,1,화
2022-03-01,안산선,정왕,4050,4361,8411,-311,3,1,화
2022-03-01,안산선,신길온천,948,869,1817,79,3,1,화
2022-03-01,안산선,안산,6387,6035,12422,352,3,1,화
2022-03-01,안산선,초지,1962,2003,3965,-41,3,1,화
2022-03-01,안산선,고잔,3688,3443,7131,245,3,1,화
2022-03-01,안산선,중앙,9642,9864,19506,-222,3,1,화
2022-03-01,안산선,한대앞,4830,5002,9832,-172,3,1,화
2022-03-01,안산선,상록수,8221,8427,16648,-206,3,1,화
2022-03-01,안산선,반월,2225,2205,4430,20,3,1,화
2022-03-01,안산선,대야미,2531,2259,4790,272,3,1,화
2022-03-01,안산선,산본,7969,8547,16516,-578,3,1,화
2022-03-01,수인선,인천,958,1395,2353,-437,3,1,화
2022-03-01,수인선,신포,1019,1044,2063,-25,3,1,화
2022-03-01,수인선,숭의,1930,1852,3782,78,3,1,화
2022-03-01,수인선,인하대,3246,3060,6306,186,3,1,화
2022-03-01,수인선,송도,1367,1324,2691,43,3,1,화
2022-03-01,수인선,연수,2636,2590,5226,46,3,1,화
2022-03-01,수인선,원인재,2521,2600,5121,-79,3,1,화
2022-03-01,수인선,남동인더스파크,727,778,1505,-51,3,1,화
2022-03-01,수인선,호구포,1782,1702,3484,80,3,1,화
2022-03-01,수인선,인천논현,2771,2925,5696,-154,3,1,화
2022-03-01,수인선,소래포구,3582,3420,7002,162,3,1,화
2022-03-01,수인선,월곶,1654,1555,3209,99,3,1,화
2022-03-01,수인선,달월,32,39,71,-7,3,1,화
2022-03-01,수인선,사리,2360,2054,4414,306,3,1,화
2022-03-01,수인선,야목,158,147,305,11,3,1,화
2022-03-01,수인선,어천,412,448,860,-36,3,1,화
2022-03-01,수인선,오목천,1290,1276,2566,14,3,1,화
2022-03-01,경강선,이천,1545,1581,3126,-36,3,1,화
