날짜,노선,역,승차승객,하차승객,총 승객,승차-하차,월,일,요일
2022-01-01,3호선,수서,7370,7076,14446,294,1,1,토
2022-01-01,3호선,학여울,461,473,934,-12,1,1,토
2022-01-01,3호선,대청,3224,2903,6127,321,1,1,토
2022-01-01,3호선,일원,3321,2803,6124,518,1,1,토
2022-01-01,경원선,창동,1,0,1,1,1,1,토
2022-01-01,1호선,신설동,4939,4733,9672,206,1,1,토
2022-01-01,1호선,동대문,6486,6390,12876,96,1,1,토
2022-01-01,1호선,종로5가,7975,7922,15897,53,1,1,토
2022-01-01,1호선,서울역,18398,16926,35324,1472,1,1,토
2022-01-01,1호선,동묘앞,7240,7366,14606,-126,1,1,토
2022-01-01,1호선,시청,5604,5006,10610,598,1,1,토
2022-01-01,1호선,종각,9977,8864,18841,1113,1,1,토
2022-01-01,1호선,종로3가,11017,9630,20647,1387,1,1,토
2022-01-01,2호선,구로디지털단지,18363,18352,36715,11,1,1,토
2022-01-01,2호선,신대방,11652,11727,23379,-75,1,1,토
2022-01-01,2호선,신림,29564,29162,58726,402,1,1,토
2022-01-01,2호선,봉천,9207,8941,18148,266,1,1,토
2022-01-01,2호선,서울대입구(관악구청),20142,20315,40457,-173,1,1,토
2022-01-01,2호선,낙성대(강감찬),11148,10973,22121,175,1,1,토
2022-01-01,2호선,사당,15292,16173,31465,-881,1,1,토
2022-01-01,2호선,방배,4297,4484,8781,-187,1,1,토
2022-01-01,2호선,서초,4010,3348,7358,662,1,1,토
2022-01-01,2호선,교대(법원.검찰청),6678,7333,14011,-655,1,1,토
2022-01-01,2호선,강남,26200,24977,51177,1223,1,1,토
2022-01-01,2호선,역삼,8239,8524,16763,-285,1,1,토
2022-01-01,2호선,선릉,9197,7746,16943,1451,1,1,토
2022-01-01,2호선,삼성(무역센터),15003,13937,28940,1066,1,1,토
2022-01-01,2호선,종합운동장,3428,3504,6932,-76,1,1,토
2022-01-01,2호선,잠실새내,8404,8750,17154,-346,1,1,토
2022-01-01,2호선,잠실(송파구청),35454,33619,69073,1835,1,1,토
2022-01-01,2호선,잠실나루,3594,3660,7254,-66,1,1,토
2022-01-01,2호선,강변(동서울터미널),14225,13711,27936,514,1,1,토
2022-01-01,2호선,구의(광진구청),8872,8862,17734,10,1,1,토
2022-01-01,2호선,건대입구,21954,23039,44993,-1085,1,1,토
2022-01-01,2호선,성수,9220,10042,19262,-822,1,1,토
2022-01-01,2호선,뚝섬,6067,5964,12031,103,1,1,토
2022-01-01,2호선,한양대,1359,1517,2876,-158,1,1,토
2022-01-01,2호선,왕십리(성동구청),6953,6214,13167,739,1,1,토
2022-01-01,2호선,상왕십리,5212,5043,10255,169,1,1,토
2022-01-01,2호선,신당,6015,6529,12544,-514,1,1,토
2022-01-01,2호선,동대문역사문화공원(DDP),5620,6213,11833,-593,1,1,토
2022-01-01,2호선,을지로4가,2568,2350,4918,218,1,1,토
2022-01-01,2호선,을지로3가,5883,5290,11173,593,1,1,토
2022-01-01,2호선,을지로입구,10825,9485,20310,1340,1,1,토
2022-01-01,2호선,시청,4137,2961,7098,1176,1,1,토
2022-01-01,1호선,청량리(서울시립대입구),9400,9553,18953,-153,1,1,토
2022-01-01,1호선,제기동,7244,7259,14503,-15,1,1,토
2022-01-01,2호선,이대,4692,4938,9630,-246,1,1,토
2022-01-01,경의선,일산,3367,3452,6819,-85,1,1,토
2022-01-01,경의선,탄현,3023,3009,6032,14,1,1,토
2022-01-01,분당선,복정,1,0,1,1,1,1,토
2022-01-01,2호선,신촌,15120,14485,29605,635,1,1,토
2022-01-01,2호선,홍대입구,38842,38438,77280,404,1,1,토
2022-01-01,2호선,합정,13993,14840,28833,-847,1,1,토
2022-01-01,2호선,당산,6288,7044,13332,-756,1,1,토
2022-01-01,2호선,영등포구청,5631,5554,11185,77,1,1,토
2022-01-01,2호선,문래,5480,5672,11152,-192,1,1,토
2022-01-01,2호선,신도림,18150,18655,36805,-505,1,1,토
2022-01-01,2호선,대림(구로구청),10717,11703,22420,-986,1,1,토
2022-01-01,중앙선,지평,24,40,64,-16,1,1,토
2022-01-01,중앙선,용문,1171,1224,2395,-53,1,1,토
2022-01-01,중앙선,원덕,171,190,361,-19,1,1,토
2022-01-01,중앙선,양평,1432,1481,2913,-49,1,1,토
2022-01-01,중앙선,오빈,144,142,286,2,1,1,토
2022-01-01,중앙선,아신,278,314,592,-36,1,1,토
2022-01-01,중앙선,국수,337,378,715,-41,1,1,토
2022-01-01,중앙선,신원,110,108,218,2,1,1,토
2022-01-01,중앙선,양수,1149,1169,2318,-20,1,1,토
2022-01-01,중앙선,운길산,689,667,1356,22,1,1,토
2022-01-01,중앙선,팔당,838,820,1658,18,1,1,토
2022-01-01,중앙선,도심,868,795,1663,73,1,1,토
2022-01-01,중앙선,덕소,2626,2727,5353,-101,1,1,토
2022-01-01,중앙선,양정,277,203,480,74,1,1,토
2022-01-01,중앙선,도농,3751,3812,7563,-61,1,1,토
2022-01-01,중앙선,구리,5372,5743,11115,-371,1,1,토
2022-01-01,중앙선,양원,655,680,1335,-25,1,1,토
2022-01-01,중앙선,망우,3549,3588,7137,-39,1,1,토
2022-01-01,중앙선,상봉(시외버스터미널),2911,2736,5647,175,1,1,토
2022-01-01,중앙선,중랑,2451,2381,4832,70,1,1,토
2022-01-01,중앙선,회기,10723,10388,21111,335,1,1,토
2022-01-01,장항선,신창(순천향대),606,603,1209,3,1,1,토
2022-01-01,장항선,온양온천,2469,2493,4962,-24,1,1,토
2022-01-01,장항선,배방,577,558,1135,19,1,1,토
2022-01-01,장항선,탕정,197,180,377,17,1,1,토
2022-01-01,장항선,아산,1705,1503,3208,202,1,1,토
2022-01-01,장항선,쌍용(나사렛대),819,791,1610,28,1,1,토
2022-01-01,장항선,봉명,401,354,755,47,1,1,토
