날짜,노선,역,승차승객,하차승객,총 승객,승차-하차,월,일,요일
2022-06-01,중앙선,양정,589,503,1092,86,6,1,수
2022-06-01,분당선,구성,3127,3243,6370,-116,6,1,수
2022-06-01,분당선,신갈,2530,2608,5138,-78,6,1,수
2022-06-01,분당선,기흥,6230,5932,12162,298,6,1,수
2022-06-01,분당선,상갈,3743,3748,7491,-5,6,1,수
2022-06-01,분당선,청명,2395,2435,4830,-40,6,1,수
2022-06-01,분당선,영통,6113,6092,12205,21,6,1,수
2022-06-01,분당선,죽전,9435,10457,19892,-1022,6,1,수
2022-06-01,분당선,이매,3712,3753,7465,-41,6,1,수
2022-06-01,분당선,오리,7089,5849,12938,1240,6,1,수
2022-06-01,분당선,미금,9559,9782,19341,-223,6,1,수
2022-06-01,분당선,정자,9839,10573,20412,-734,6,1,수
2022-06-01,분당선,수내,7910,7764,15674,146,6,1,수
2022-06-01,분당선,서현,17665,17821,35486,-156,6,1,수
2022-06-01,분당선,야탑,16127,16761,32888,-634,6,1,수
2022-06-01,분당선,모란,14441,14809,29250,-368,6,1,수
2022-06-01,분당선,태평,9630,9188,18818,442,6,1,수
2022-06-01,분당선,가천대,5573,6170,11743,-597,6,1,수
2022-06-01,분당선,선정릉,2600,2623,5223,-23,6,1,수
2022-06-01,분당선,강남구청,3859,4305,8164,-446,6,1,수
2022-06-01,분당선,압구정로데오,13721,15647,29368,-1926,6,1,수
2022-06-01,분당선,서울숲,9692,10215,19907,-523,6,1,수
2022-06-01,분당선,수원,6540,5541,12081,999,6,1,수
2022-06-01,분당선,수서,7993,8539,16532,-546,6,1,수
2022-06-01,분당선,대모산입구,2482,2393,4875,89,6,1,수
2022-06-01,분당선,개포동,2468,2422,4890,46,6,1,수
2022-06-01,분당선,구룡,1132,1109,2241,23,6,1,수
2022-06-01,2호선,동대문역사문화공원(DDP),10621,12150,22771,-1529,6,1,수
2022-06-01,분당선,도곡,3714,3492,7206,222,6,1,수
2022-06-01,분당선,한티,9303,9395,18698,-92,6,1,수
2022-06-01,분당선,선릉,3950,5728,9678,-1778,6,1,수
2022-06-01,과천선,범계,18700,18486,37186,214,6,1,수
2022-06-01,과천선,평촌,7980,7851,15831,129,6,1,수
2022-06-01,과천선,인덕원,14519,14379,28898,140,6,1,수
2022-06-01,과천선,정부과천청사,5748,5895,11643,-147,6,1,수
2022-06-01,과천선,과천,4692,4219,8911,473,6,1,수
2022-06-01,과천선,대공원,9899,10167,20066,-268,6,1,수
2022-06-01,과천선,경마공원,1194,1198,2392,-4,6,1,수
2022-06-01,과천선,선바위,4567,4313,8880,254,6,1,수
2022-06-01,공항철도 1호선,영종,2897,2793,5690,104,6,1,수
2022-06-01,공항철도 1호선,인천공항2터미널,2709,2542,5251,167,6,1,수
2022-06-01,공항철도 1호선,인천공항1터미널,6289,6621,12910,-332,6,1,수
2022-06-01,공항철도 1호선,공항화물청사,1344,1465,2809,-121,6,1,수
2022-06-01,공항철도 1호선,운서,6218,6450,12668,-232,6,1,수
2022-06-01,5호선,방화,4315,4213,8528,102,6,1,수
2022-06-01,공항철도 1호선,청라국제도시,4049,3970,8019,79,6,1,수
2022-06-01,공항철도 1호선,검암,4046,4094,8140,-48,6,1,수
2022-06-01,공항철도 1호선,계양,6750,6247,12997,503,6,1,수
2022-06-01,공항철도 1호선,김포공항,10205,5565,15770,4640,6,1,수
2022-06-01,공항철도 1호선,마곡나루(서울식물원),3168,3462,6630,-294,6,1,수
2022-06-01,공항철도 1호선,디지털미디어시티,4667,4673,9340,-6,6,1,수
2022-06-01,공항철도 1호선,홍대입구,11083,10624,21707,459,6,1,수
2022-06-01,공항철도 1호선,공덕,1403,1761,3164,-358,6,1,수
2022-06-01,공항철도 1호선,서울역,6589,6259,12848,330,6,1,수
2022-06-01,경춘선,춘천,2439,1852,4291,587,6,1,수
2022-06-01,경춘선,남춘천,2805,2942,5747,-137,6,1,수
2022-06-01,경춘선,김유정,671,721,1392,-50,6,1,수
2022-06-01,경춘선,강촌,803,742,1545,61,6,1,수
2022-06-01,경춘선,백양리,146,119,265,27,6,1,수
2022-06-01,경춘선,굴봉산,250,230,480,20,6,1,수
2022-06-01,경춘선,가평,2251,2297,4548,-46,6,1,수
2022-06-01,경춘선,상천,538,524,1062,14,6,1,수
2022-06-01,경춘선,청평,1788,1801,3589,-13,6,1,수
2022-06-01,경춘선,대성리,893,727,1620,166,6,1,수
2022-06-01,경춘선,마석,3112,3129,6241,-17,6,1,수
2022-06-01,경춘선,천마산,1369,1362,2731,7,6,1,수
2022-06-01,경춘선,평내호평,4629,4490,9119,139,6,1,수
2022-06-01,경춘선,금곡,1122,1070,2192,52,6,1,수
2022-06-01,경춘선,사릉,1758,1733,3491,25,6,1,수
2022-06-01,경춘선,퇴계원,2542,2348,4890,194,6,1,수
2022-06-01,경춘선,별내,2207,2136,4343,71,6,1,수
2022-06-01,경춘선,갈매,1884,1651,3535,233,6,1,수
2022-06-01,경춘선,신내,1226,1261,2487,-35,6,1,수
2022-06-01,경인선,도화,3024,2852,5876,172,6,1,수
2022-06-01,경인선,중동,6228,5813,12041,415,6,1,수
2022-06-01,경인선,온수(성공회대입구),4815,4455,9270,360,6,1,수
2022-06-01,경인선,도원,2000,2098,4098,-98,6,1,수
2022-06-01,경인선,간석,4041,3889,7930,152,6,1,수
2022-06-01,경인선,부개,5927,5606,11533,321,6,1,수
2022-06-01,경인선,소사,6083,5700,11783,383,6,1,수
2022-06-01,경인선,구일,7197,7270,14467,-73,6,1,수
2022-06-01,경인선,인천,5460,4446,9906,1014,6,1,수
2022-06-01,경인선,동인천,11023,10947,21970,76,6,1,수
2022-06-01,경인선,제물포,6715,6486,13201,229,6,1,수
2022-06-01,경인선,주안,14125,12536,26661,1589,6,1,수
2022-06-01,경인선,동암,11484,11464,22948,20,6,1,수
2022-06-01,경인선,백운,4895,4786,9681,109,6,1,수
2022-06-01,경인선,부평,26015,27596,53611,-1581,6,1,수
2022-06-01,경인선,송내,16319,16335,32654,-16,6,1,수
2022-06-01,경인선,부천,26248,26398,52646,-150,6,1,수
2022-06-01,경인선,역곡,19202,18788,37990,414,6,1,수
2022-06-01,경인선,오류동,8545,7930,16475,615,6,1,수
2022-06-01,경인선,개봉,14989,14723,29712,266,6,1,수
2022-06-01,경의선,계양,1,0,1,1,6,1,수
2022-06-01,경의선,임진강,98,83,181,15,6,1,수
2022-06-01,경의선,문산,4317,4288,8605,29,6,1,수
2022-06-01,경의선,파주,776,682,1458,94,6,1,수
2022-06-01,경의선,월롱,1765,2049,3814,-284,6,1,수
2022-06-01,경의선,금촌,5602,5566,11168,36,6,1,수
2022-06-01,경의선,금릉,3628,3683,7311,-55,6,1,수
2022-06-01,경의선,운정,4614,4306,8920,308,6,1,수
2022-06-01,경의선,야당,6053,5982,12035,71,6,1,수
2022-06-01,경의선,탄현,4983,4654,9637,329,6,1,수
2022-06-01,경의선,일산,5624,5363,10987,261,6,1,수
2022-06-01,경의선,풍산,3974,3873,7847,101,6,1,수
2022-06-01,경의선,백마,4022,3913,7935,109,6,1,수
2022-06-01,경의선,곡산,384,383,767,1,6,1,수
2022-06-01,경의선,능곡,2642,2594,5236,48,6,1,수
2022-06-01,경의선,행신,5000,4949,9949,51,6,1,수
2022-06-01,경의선,강매,1898,1783,3681,115,6,1,수
2022-06-01,경의선,화전,1403,1395,2798,8,6,1,수
2022-06-01,경의선,수색,1338,1383,2721,-45,6,1,수
2022-06-01,경의선,디지털미디어시티,1829,1522,3351,307,6,1,수
2022-06-01,경의선,가좌,3528,3447,6975,81,6,1,수
2022-06-01,경의선,홍대입구,1830,2296,4126,-466,6,1,수
2022-06-01,경의선,서강대,1529,1486,3015,43,6,1,수
2022-06-01,경의선,공덕,1948,1749,3697,199,6,1,수
2022-06-01,경의선,효창공원앞,1618,1850,3468,-232,6,1,수
2022-06-01,경의선,신촌,385,349,734,36,6,1,수
2022-06-01,경의선,서울역,1301,1324,2625,-23,6,1,수
2022-06-01,경원선,소요산,4012,3504,7516,508,6,1,수
2022-06-01,경원선,동두천,1678,2110,3788,-432,6,1,수
2022-06-01,경원선,보산,1409,1322,2731,87,6,1,수
2022-06-01,경원선,동두천중앙,2381,2297,4678,84,6,1,수
2022-06-01,경원선,지행,5507,5464,10971,43,6,1,수
2022-06-01,경원선,덕정,3965,3923,7888,42,6,1,수
2022-06-01,경원선,덕계,2333,2375,4708,-42,6,1,수
2022-06-01,경원선,양주,5862,5662,11524,200,6,1,수
2022-06-01,경원선,녹양,3433,3211,6644,222,6,1,수
2022-06-01,경원선,가능,4988,4696,9684,292,6,1,수
2022-06-01,경원선,의정부,16326,16854,33180,-528,6,1,수
2022-06-01,경원선,회룡,9252,9212,18464,40,6,1,수
2022-06-01,경원선,망월사,6160,6221,12381,-61,6,1,수
2022-06-01,경원선,도봉산,9038,6403,15441,2635,6,1,수
2022-06-01,경원선,도봉,4267,4018,8285,249,6,1,수
2022-06-01,경원선,방학,7212,6957,14169,255,6,1,수
2022-06-01,경원선,녹천,3082,2665,5747,417,6,1,수
2022-06-01,경원선,월계,4351,4167,8518,184,6,1,수
2022-06-01,경원선,광운대,5310,5204,10514,106,6,1,수
2022-06-01,경원선,석계,6146,6534,12680,-388,6,1,수
2022-06-01,경원선,신이문,6086,5579,11665,507,6,1,수
2022-06-01,경원선,외대앞,5974,5692,11666,282,6,1,수
2022-06-01,경원선,청량리(서울시립대입구),14571,14801,29372,-230,6,1,수
2022-06-01,경원선,왕십리(성동구청),11210,12356,23566,-1146,6,1,수
2022-06-01,경원선,응봉,1544,1348,2892,196,6,1,수
2022-06-01,경원선,옥수,42,24,66,18,6,1,수
2022-06-01,경원선,한남,2645,2528,5173,117,6,1,수
2022-06-01,경원선,서빙고,1544,1541,3085,3,6,1,수
2022-06-01,경원선,이촌(국립중앙박물관),2986,2166,5152,820,6,1,수
2022-06-01,경부선,광명,2248,1948,4196,300,6,1,수
2022-06-01,경부선,서동탄,936,898,1834,38,6,1,수
2022-06-01,경부선,당정,3934,3741,7675,193,6,1,수
2022-06-01,경부선,천안,5454,5577,11031,-123,6,1,수
2022-06-01,경부선,두정,4718,4811,9529,-93,6,1,수
2022-06-01,경부선,직산,605,614,1219,-9,6,1,수
2022-06-01,경부선,성환,2956,3081,6037,-125,6,1,수
2022-06-01,경부선,평택,11648,11691,23339,-43,6,1,수
2022-06-01,경부선,평택지제,2751,2667,5418,84,6,1,수
2022-06-01,경부선,서정리,5330,6035,11365,-705,6,1,수
2022-06-01,경부선,송탄,3746,3981,7727,-235,6,1,수
2022-06-01,경부선,진위,1124,1060,2184,64,6,1,수
2022-06-01,경부선,오산,8139,7960,16099,179,6,1,수
2022-06-01,경부선,오산대,2887,2754,5641,133,6,1,수
2022-06-01,경부선,세마,2103,2106,4209,-3,6,1,수
2022-06-01,경부선,병점,11245,11231,22476,14,6,1,수
2022-06-01,경부선,세류,2271,2260,4531,11,6,1,수
2022-06-01,경부선,독산,8527,8579,17106,-52,6,1,수
2022-06-01,경부선,수원,35227,35399,70626,-172,6,1,수
2022-06-01,경부선,화서,5110,4979,10089,131,6,1,수
2022-06-01,경부선,성균관대,9510,9604,19114,-94,6,1,수
2022-06-01,경부선,의왕,5834,5794,11628,40,6,1,수
