노선,승차승객,하차승객,총 승객,승차-하차,월,일,요일
0,14134,14429,28563,-295,9,25,6
5,7573,7416,14989,157,9,25,6
14,11506,11209,22715,297,9,25,6
14,10776,10461,21237,315,9,25,6
3,1615,1666,3281,-51,9,25,6
8,1355,1079,2434,276,9,25,6
11,5516,7300,12816,-1784,9,25,6
4,5223,5007,10230,216,9,25,6
9,685,702,1387,-17,9,25,6
8,5704,5604,11308,100,9,25,6
5,6440,7794,14234,-1354,9,25,6
13,1734,1526,3260,208,9,25,6
16,6670,5426,12096,1244,9,25,6
1,13847,13569,27416,278,9,25,6
6,13242,12694,25936,548,9,25,6
4,4198,4412,8610,-214,9,25,6
8,6505,6417,12922,88,9,25,6
16,2945,3219,6164,-274,9,25,6
23,3921,3963,7884,-42,9,25,6
6,6807,6269,13076,538,9,25,6
15,2962,2895,5857,67,9,25,6
4,3246,3016,6262,230,9,25,6
4,4190,4414,8604,-224,9,25,6
4,5635,5589,11224,46,9,25,6
5,8113,7186,15299,927,9,25,6
25,5746,5614,11360,132,9,25,6
5,11027,11976,23003,-949,9,25,6
12,5213,5256,10469,-43,9,25,6
18,7138,7253,14391,-115,9,25,6
18,2276,2228,4504,48,9,25,6
2,4479,4495,8974,-16,9,25,6
18,2936,2905,5841,31,9,25,6
6,5968,5638,11606,330,9,25,6
6,8755,8574,17329,181,9,25,6
3,17480,18379,35859,-899,9,25,6
4,5461,5338,10799,123,9,25,6
11,3743,3602,7345,141,9,25,6
18,12491,12603,25094,-112,9,25,6
7,2781,2472,5253,309,9,25,6
4,9199,9055,18254,144,9,25,6
7,4386,4364,8750,22,9,25,6
2,2138,2262,4400,-124,9,25,6
1,8829,9500,18329,-671,9,25,6
13,4409,4610,9019,-201,9,25,6
7,6477,6659,13136,-182,9,25,6
18,8036,8453,16489,-417,9,25,6
4,10014,10056,20070,-42,9,25,6
3,9323,8951,18274,372,9,25,6
3,18077,16861,34938,1216,9,25,6
21,2878,2865,5743,13,9,25,6
6,3254,3598,6852,-344,9,25,6
4,10642,11322,21964,-680,9,25,6
1,7732,8071,15803,-339,9,25,6
4,4796,4436,9232,360,9,25,6
12,6707,6452,13159,255,9,25,6
4,3980,3875,7855,105,9,25,6
24,940,1106,2046,-166,9,25,6
13,4107,3828,7935,279,9,25,6
23,6707,6392,13099,315,9,25,6
15,585,518,1103,67,9,25,6
14,4529,4385,8914,144,9,25,6
5,1174,1345,2519,-171,9,25,6
17,17189,16658,33847,531,9,25,6
15,2089,1863,3952,226,9,25,6
11,10843,11468,22311,-625,9,25,6
6,4245,4501,8746,-256,9,25,6
20,1725,1625,3350,100,9,25,6
