날짜,노선,역,승차승객,하차승객,총 승객,승차-하차,월,일,요일
2022-08-01,중앙선,도심,2143,1636,3779,507,8,1,월
2022-08-01,경원선,도봉,5251,5113,10364,138,8,1,월
2022-08-01,경원선,도봉산,6175,3864,10039,2311,8,1,월
2022-08-01,경원선,망월사,6680,6759,13439,-79,8,1,월
2022-08-01,경원선,회룡,10851,10795,21646,56,8,1,월
2022-08-01,경원선,의정부,17937,18392,36329,-455,8,1,월
2022-08-01,경원선,가능,5985,5660,11645,325,8,1,월
2022-08-01,경원선,녹양,4026,3821,7847,205,8,1,월
2022-08-01,경원선,양주,6751,6383,13134,368,8,1,월
2022-08-01,경원선,덕계,2843,2454,5297,389,8,1,월
2022-08-01,경원선,덕정,4854,4524,9378,330,8,1,월
2022-08-01,경원선,지행,5906,5744,11650,162,8,1,월
2022-08-01,경원선,동두천중앙,3015,2824,5839,191,8,1,월
2022-08-01,경원선,보산,1489,1320,2809,169,8,1,월
2022-08-01,경원선,동두천,1806,1966,3772,-160,8,1,월
2022-08-01,경원선,소요산,2852,2199,5051,653,8,1,월
2022-08-01,경의선,서울역,4259,5509,9768,-1250,8,1,월
2022-08-01,경의선,신촌,803,1113,1916,-310,8,1,월
2022-08-01,경의선,효창공원앞,2830,3239,6069,-409,8,1,월
2022-08-01,경의선,공덕,3715,3158,6873,557,8,1,월
2022-08-01,경의선,서강대,1997,1952,3949,45,8,1,월
2022-08-01,경의선,홍대입구,1745,2273,4018,-528,8,1,월
2022-08-01,경의선,가좌,5118,4858,9976,260,8,1,월
2022-08-01,경의선,디지털미디어시티,2447,2132,4579,315,8,1,월
2022-08-01,경의선,수색,2502,2559,5061,-57,8,1,월
2022-08-01,경의선,화전,1413,1323,2736,90,8,1,월
2022-08-01,경의선,강매,2822,2470,5292,352,8,1,월
2022-08-01,경의선,행신,7807,7765,15572,42,8,1,월
2022-08-01,경의선,능곡,3443,3023,6466,420,8,1,월
2022-08-01,경의선,곡산,526,521,1047,5,8,1,월
2022-08-01,경의선,백마,6291,5949,12240,342,8,1,월
2022-08-01,경의선,풍산,5141,4644,9785,497,8,1,월
2022-08-01,경의선,일산,8200,7843,16043,357,8,1,월
2022-08-01,경의선,탄현,7300,6767,14067,533,8,1,월
2022-08-01,경의선,야당,7082,7037,14119,45,8,1,월
2022-08-01,경의선,운정,6313,5760,12073,553,8,1,월
2022-08-01,경의선,금릉,4549,4166,8715,383,8,1,월
2022-08-01,경의선,금촌,6271,6308,12579,-37,8,1,월
2022-08-01,경의선,월롱,2310,2292,4602,18,8,1,월
2022-08-01,경의선,파주,1012,755,1767,257,8,1,월
2022-08-01,경의선,문산,5127,4838,9965,289,8,1,월
2022-08-01,경의선,임진강,5,9,14,-4,8,1,월
2022-08-01,경인선,개봉,18951,18559,37510,392,8,1,월
2022-08-01,경인선,오류동,10768,10109,20877,659,8,1,월
2022-08-01,경인선,역곡,23923,23768,47691,155,8,1,월
2022-08-01,경인선,부천,29560,29762,59322,-202,8,1,월
2022-08-01,경인선,송내,24331,23726,48057,605,8,1,월
2022-08-01,경인선,부평,29206,30473,59679,-1267,8,1,월
2022-08-01,경인선,백운,6130,6016,12146,114,8,1,월
2022-08-01,경인선,동암,14182,14022,28204,160,8,1,월
2022-08-01,경인선,주안,16982,14977,31959,2005,8,1,월
2022-08-01,경인선,제물포,8941,8498,17439,443,8,1,월
2022-08-01,경인선,동인천,11839,11337,23176,502,8,1,월
2022-08-01,경인선,인천,3857,3062,6919,795,8,1,월
2022-08-01,경인선,구일,5464,5285,10749,179,8,1,월
2022-08-01,경인선,소사,7229,7222,14451,7,8,1,월
2022-08-01,경인선,부개,7759,7072,14831,687,8,1,월
2022-08-01,경인선,간석,5375,4973,10348,402,8,1,월
2022-08-01,경인선,도원,2429,2473,4902,-44,8,1,월
2022-08-01,경인선,온수(성공회대입구),5778,5690,11468,88,8,1,월
2022-08-01,경인선,중동,8445,7866,16311,579,8,1,월
2022-08-01,경인선,도화,3590,3397,6987,193,8,1,월
2022-08-01,경춘선,신내,1965,1826,3791,139,8,1,월
2022-08-01,경춘선,갈매,2660,2320,4980,340,8,1,월
2022-08-01,경춘선,별내,2856,2673,5529,183,8,1,월
2022-08-01,경춘선,퇴계원,3217,2854,6071,363,8,1,월
2022-08-01,경춘선,사릉,2034,1997,4031,37,8,1,월
2022-08-01,경춘선,금곡,1301,1245,2546,56,8,1,월
2022-08-01,경춘선,평내호평,5685,5502,11187,183,8,1,월
2022-08-01,경춘선,천마산,1476,1328,2804,148,8,1,월
2022-08-01,경춘선,마석,3579,3451,7030,128,8,1,월
2022-08-01,경춘선,대성리,728,857,1585,-129,8,1,월
2022-08-01,경춘선,청평,1950,1852,3802,98,8,1,월
2022-08-01,경춘선,상천,219,208,427,11,8,1,월
2022-08-01,경춘선,가평,2406,2875,5281,-469,8,1,월
2022-08-01,경춘선,굴봉산,173,152,325,21,8,1,월
2022-08-01,경춘선,백양리,105,95,200,10,8,1,월
2022-08-01,경춘선,강촌,585,511,1096,74,8,1,월
2022-08-01,경춘선,김유정,300,288,588,12,8,1,월
2022-08-01,경춘선,남춘천,2377,2467,4844,-90,8,1,월
2022-08-01,경춘선,춘천,1545,1319,2864,226,8,1,월
2022-08-01,공항철도 1호선,서울역,9507,8682,18189,825,8,1,월
