날짜,노선,역,승차승객,하차승객,총 승객,승차-하차,월,일,요일
2022-04-01,3호선,경복궁(정부서울청사),21753,21531,43284,222,4,1,금
2022-04-01,3호선,안국,20895,21751,42646,-856,4,1,금
2022-04-01,3호선,종로3가,9980,11774,21754,-1794,4,1,금
2022-04-01,3호선,을지로3가,10123,10645,20768,-522,4,1,금
2022-04-01,3호선,동대입구,8586,9502,18088,-916,4,1,금
2022-04-01,3호선,약수,12826,12476,25302,350,4,1,금
2022-04-01,3호선,금호,7781,7169,14950,612,4,1,금
2022-04-01,3호선,압구정,30687,32977,63664,-2290,4,1,금
2022-04-01,3호선,신사,31088,32585,63673,-1497,4,1,금
2022-04-01,3호선,잠원,4769,4664,9433,105,4,1,금
2022-04-01,3호선,고속터미널,42055,43793,85848,-1738,4,1,금
2022-04-01,3호선,교대(법원.검찰청),13976,9108,23084,4868,4,1,금
2022-04-01,3호선,남부터미널(예술의전당),28716,28916,57632,-200,4,1,금
2022-04-01,3호선,양재(서초구청),37358,39966,77324,-2608,4,1,금
2022-04-01,3호선,매봉,11596,11102,22698,494,4,1,금
2022-04-01,3호선,도곡,5004,5232,10236,-228,4,1,금
2022-04-01,3호선,대치,10670,10752,21422,-82,4,1,금
2022-04-01,3호선,학여울,1653,1713,3366,-60,4,1,금
2022-04-01,3호선,대청,9753,8995,18748,758,4,1,금
2022-04-01,3호선,일원,9912,9330,19242,582,4,1,금
2022-04-01,3호선,수서,17340,17878,35218,-538,4,1,금
2022-04-01,3호선,가락시장,8716,8708,17424,8,4,1,금
2022-04-01,3호선,경찰병원,6993,6858,13851,135,4,1,금
2022-04-01,3호선,오금,6062,5504,11566,558,4,1,금
2022-04-01,4호선,당고개,9010,8265,17275,745,4,1,금
2022-04-01,4호선,상계,18867,17499,36366,1368,4,1,금
2022-04-01,4호선,노원,19016,21631,40647,-2615,4,1,금
2022-04-01,4호선,창동,25142,26993,52135,-1851,4,1,금
2022-04-01,4호선,쌍문,28548,26150,54698,2398,4,1,금
2022-04-01,4호선,수유(강북구청),33798,33789,67587,9,4,1,금
2022-04-01,4호선,미아(서울사이버대학),15070,14566,29636,504,4,1,금
2022-04-01,4호선,미아사거리,26890,26236,53126,654,4,1,금
2022-04-01,4호선,길음,20403,20026,40429,377,4,1,금
2022-04-01,4호선,성신여대입구(돈암),21283,20155,41438,1128,4,1,금
2022-04-01,4호선,한성대입구(삼선교),14163,13696,27859,467,4,1,금
2022-04-01,4호선,혜화,32391,31757,64148,634,4,1,금
2022-04-01,4호선,동대문,18885,19148,38033,-263,4,1,금
2022-04-01,4호선,동대문역사문화공원(DDP),14504,13304,27808,1200,4,1,금
2022-04-01,4호선,충무로,26912,27790,54702,-878,4,1,금
2022-04-01,4호선,명동,18753,19848,38601,-1095,4,1,금
2022-04-01,4호선,회현(남대문시장),23134,24640,47774,-1506,4,1,금
2022-04-01,4호선,서울역,10455,17206,27661,-6751,4,1,금
2022-04-01,4호선,숙대입구(갈월),13318,12850,26168,468,4,1,금
2022-04-01,4호선,삼각지,4984,5614,10598,-630,4,1,금
2022-04-01,4호선,신용산,15447,16528,31975,-1081,4,1,금
2022-04-01,4호선,이촌(국립중앙박물관),7054,7844,14898,-790,4,1,금
2022-04-01,4호선,동작(현충원),1574,1805,3379,-231,4,1,금
2022-04-01,4호선,총신대입구(이수),18572,19970,38542,-1398,4,1,금
2022-04-01,4호선,사당,25061,21399,46460,3662,4,1,금
2022-04-01,4호선,남태령,1268,976,2244,292,4,1,금
2022-04-01,5호선,방화,6503,6153,12656,350,4,1,금
2022-04-01,5호선,개화산,5389,5251,10640,138,4,1,금
2022-04-01,5호선,김포공항,7128,7327,14455,-199,4,1,금
2022-04-01,5호선,송정,6403,6065,12468,338,4,1,금
2022-04-01,5호선,마곡,10244,10049,20293,195,4,1,금
2022-04-01,5호선,발산,19305,20085,39390,-780,4,1,금
2022-04-01,5호선,우장산,14164,13696,27860,468,4,1,금
2022-04-01,5호선,화곡,27773,25611,53384,2162,4,1,금
2022-04-01,5호선,까치산,28147,26784,54931,1363,4,1,금
2022-04-01,5호선,신정(은행정),13504,10839,24343,2665,4,1,금
2022-04-01,5호선,목동,16375,17307,33682,-932,4,1,금
2022-04-01,5호선,오목교(목동운동장앞),20635,22334,42969,-1699,4,1,금
2022-04-01,5호선,양평,7395,6943,14338,452,4,1,금
2022-04-01,5호선,영등포구청,3819,3901,7720,-82,4,1,금
2022-04-01,5호선,영등포시장,9993,10309,20302,-316,4,1,금
2022-04-01,5호선,신길,4106,4213,8319,-107,4,1,금
2022-04-01,5호선,여의도,27068,28600,55668,-1532,4,1,금
2022-04-01,5호선,여의나루,15724,17322,33046,-1598,4,1,금
2022-04-01,5호선,마포,13921,14384,28305,-463,4,1,금
2022-04-01,5호선,공덕,13268,14124,27392,-856,4,1,금
2022-04-01,5호선,애오개,6599,6691,13290,-92,4,1,금
2022-04-01,5호선,충정로(경기대입구),4421,4475,8896,-54,4,1,금
2022-04-01,5호선,서대문,17915,18063,35978,-148,4,1,금
2022-04-01,5호선,광화문(세종문화회관),27204,28300,55504,-1096,4,1,금
2022-04-01,5호선,종로3가,12788,12940,25728,-152,4,1,금
2022-04-01,5호선,을지로4가,5993,6125,12118,-132,4,1,금
2022-04-01,5호선,동대문역사문화공원(DDP),2621,3128,5749,-507,4,1,금
2022-04-01,5호선,청구,3994,3541,7535,453,4,1,금
